2026-03-10 02:27:38.574 | WARNING  | __main__:147 |   Features skipped 2022-02-10: Clean parquet missing for 2022-02-10: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\02\clean_2022-02-10.parquet
2026-03-10 02:27:38.574 | WARNING  | __main__:147 |   Features skipped 2022-02-11: Clean parquet missing for 2022-02-11: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\02\clean_2022-02-11.parquet
2026-03-10 02:27:38.575 | WARNING  | __main__:147 |   Features skipped 2022-02-14: Clean parquet missing for 2022-02-14: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\02\clean_2022-02-14.parquet
2026-03-10 02:27:38.575 | WARNING  | __main__:147 |   Features skipped 2022-02-15: Clean parquet missing for 2022-02-15: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\02\clean_2022-02-15.parquet
2026-03-10 02:27:38.576 | WARNING  | __main__:147 |   Features skipped 2022-02-16: Clean parquet missing for 2022-02-16: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\02\clean_2022-02-16.parquet
2026-03-10 02:27:38.576 | WARNING  | __main__:147 |   Features skipped 2022-02-17: Clean parquet missing for 2022-02-17: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\02\clean_2022-02-17.parquet
2026-03-10 02:27:38.576 | WARNING  | __main__:147 |   Features skipped 2022-02-18: Clean parquet missing for 2022-02-18: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\02\clean_2022-02-18.parquet
2026-03-10 02:27:38.576 | WARNING  | __main__:147 |   Features skipped 2022-02-21: Clean parquet missing for 2022-02-21: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\02\clean_2022-02-21.parquet
2026-03-10 02:27:38.577 | WARNING  | __main__:147 |   Features skipped 2022-02-22: Clean parquet missing for 2022-02-22: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\02\clean_2022-02-22.parquet
2026-03-10 02:27:38.577 | WARNING  | __main__:147 |   Features skipped 2022-02-23: Clean parquet missing for 2022-02-23: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\02\clean_2022-02-23.parquet
2026-03-10 02:27:38.577 | WARNING  | __main__:147 |   Features skipped 2022-02-24: Clean parquet missing for 2022-02-24: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\02\clean_2022-02-24.parquet
2026-03-10 02:27:38.577 | WARNING  | __main__:147 |   Features skipped 2022-02-25: Clean parquet missing for 2022-02-25: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\02\clean_2022-02-25.parquet
2026-03-10 02:27:38.578 | WARNING  | __main__:147 |   Features skipped 2022-02-28: Clean parquet missing for 2022-02-28: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\02\clean_2022-02-28.parquet
2026-03-10 02:27:38.578 | WARNING  | __main__:147 |   Features skipped 2022-03-02: Clean parquet missing for 2022-03-02: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-02.parquet
2026-03-10 02:27:38.578 | WARNING  | __main__:147 |   Features skipped 2022-03-03: Clean parquet missing for 2022-03-03: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-03.parquet
2026-03-10 02:27:38.578 | WARNING  | __main__:147 |   Features skipped 2022-03-04: Clean parquet missing for 2022-03-04: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-04.parquet
2026-03-10 02:27:38.579 | WARNING  | __main__:147 |   Features skipped 2022-03-07: Clean parquet missing for 2022-03-07: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-07.parquet
2026-03-10 02:27:38.579 | WARNING  | __main__:147 |   Features skipped 2022-03-08: Clean parquet missing for 2022-03-08: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-08.parquet
2026-03-10 02:27:38.579 | WARNING  | __main__:147 |   Features skipped 2022-03-09: Clean parquet missing for 2022-03-09: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-09.parquet
2026-03-10 02:27:38.580 | WARNING  | __main__:147 |   Features skipped 2022-03-10: Clean parquet missing for 2022-03-10: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-10.parquet
2026-03-10 02:27:38.580 | WARNING  | __main__:147 |   Features skipped 2022-03-11: Clean parquet missing for 2022-03-11: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-11.parquet
2026-03-10 02:27:38.580 | WARNING  | __main__:147 |   Features skipped 2022-03-14: Clean parquet missing for 2022-03-14: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-14.parquet
2026-03-10 02:27:38.581 | WARNING  | __main__:147 |   Features skipped 2022-03-15: Clean parquet missing for 2022-03-15: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-15.parquet
2026-03-10 02:27:38.581 | WARNING  | __main__:147 |   Features skipped 2022-03-16: Clean parquet missing for 2022-03-16: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-16.parquet
2026-03-10 02:27:38.581 | WARNING  | __main__:147 |   Features skipped 2022-03-17: Clean parquet missing for 2022-03-17: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-17.parquet
2026-03-10 02:27:38.582 | WARNING  | __main__:147 |   Features skipped 2022-03-21: Clean parquet missing for 2022-03-21: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-21.parquet
2026-03-10 02:27:38.583 | WARNING  | __main__:147 |   Features skipped 2022-03-22: Clean parquet missing for 2022-03-22: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-22.parquet
2026-03-10 02:27:38.583 | WARNING  | __main__:147 |   Features skipped 2022-03-23: Clean parquet missing for 2022-03-23: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-23.parquet
2026-03-10 02:27:38.583 | WARNING  | __main__:147 |   Features skipped 2022-03-24: Clean parquet missing for 2022-03-24: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-24.parquet
2026-03-10 02:27:38.584 | WARNING  | __main__:147 |   Features skipped 2022-03-25: Clean parquet missing for 2022-03-25: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-25.parquet
2026-03-10 02:27:38.584 | WARNING  | __main__:147 |   Features skipped 2022-03-28: Clean parquet missing for 2022-03-28: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-28.parquet
2026-03-10 02:27:38.585 | WARNING  | __main__:147 |   Features skipped 2022-03-29: Clean parquet missing for 2022-03-29: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-29.parquet
2026-03-10 02:27:38.585 | WARNING  | __main__:147 |   Features skipped 2022-03-30: Clean parquet missing for 2022-03-30: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-30.parquet
2026-03-10 02:27:38.585 | WARNING  | __main__:147 |   Features skipped 2022-03-31: Clean parquet missing for 2022-03-31: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\03\clean_2022-03-31.parquet
2026-03-10 02:27:38.585 | WARNING  | __main__:147 |   Features skipped 2022-04-01: Clean parquet missing for 2022-04-01: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-01.parquet
2026-03-10 02:27:38.586 | WARNING  | __main__:147 |   Features skipped 2022-04-04: Clean parquet missing for 2022-04-04: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-04.parquet
2026-03-10 02:27:38.586 | WARNING  | __main__:147 |   Features skipped 2022-04-05: Clean parquet missing for 2022-04-05: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-05.parquet
2026-03-10 02:27:38.587 | WARNING  | __main__:147 |   Features skipped 2022-04-06: Clean parquet missing for 2022-04-06: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-06.parquet
2026-03-10 02:27:38.587 | WARNING  | __main__:147 |   Features skipped 2022-04-07: Clean parquet missing for 2022-04-07: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-07.parquet
2026-03-10 02:27:38.587 | WARNING  | __main__:147 |   Features skipped 2022-04-08: Clean parquet missing for 2022-04-08: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-08.parquet
2026-03-10 02:27:38.587 | WARNING  | __main__:147 |   Features skipped 2022-04-11: Clean parquet missing for 2022-04-11: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-11.parquet
2026-03-10 02:27:38.588 | WARNING  | __main__:147 |   Features skipped 2022-04-12: Clean parquet missing for 2022-04-12: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-12.parquet
2026-03-10 02:27:38.588 | WARNING  | __main__:147 |   Features skipped 2022-04-13: Clean parquet missing for 2022-04-13: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-13.parquet
2026-03-10 02:27:38.588 | WARNING  | __main__:147 |   Features skipped 2022-04-18: Clean parquet missing for 2022-04-18: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-18.parquet
2026-03-10 02:27:38.589 | WARNING  | __main__:147 |   Features skipped 2022-04-19: Clean parquet missing for 2022-04-19: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-19.parquet
