2026-03-10 02:27:38.940 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\02\features_2022-02-18.parquet
2026-03-10 02:27:38.940 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\02\features_2022-02-21.parquet
2026-03-10 02:27:38.940 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\02\features_2022-02-22.parquet
2026-03-10 02:27:38.940 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\02\features_2022-02-23.parquet
2026-03-10 02:27:38.941 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\02\features_2022-02-24.parquet
2026-03-10 02:27:38.941 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\02\features_2022-02-25.parquet
2026-03-10 02:27:38.941 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\02\features_2022-02-28.parquet
2026-03-10 02:27:38.941 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-02.parquet
2026-03-10 02:27:38.941 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-03.parquet
2026-03-10 02:27:38.941 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-04.parquet
2026-03-10 02:27:38.942 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-07.parquet
2026-03-10 02:27:38.942 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-08.parquet
2026-03-10 02:27:38.942 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-09.parquet
2026-03-10 02:27:38.942 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-10.parquet
2026-03-10 02:27:38.943 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-11.parquet
2026-03-10 02:27:38.943 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-14.parquet
2026-03-10 02:27:38.943 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-15.parquet
2026-03-10 02:27:38.943 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-16.parquet
2026-03-10 02:27:38.943 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-17.parquet
2026-03-10 02:27:38.944 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-21.parquet
2026-03-10 02:27:38.944 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-22.parquet
2026-03-10 02:27:38.944 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-23.parquet
2026-03-10 02:27:38.944 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-24.parquet
2026-03-10 02:27:38.945 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-25.parquet
2026-03-10 02:27:38.945 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-28.parquet
2026-03-10 02:27:38.945 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-29.parquet
2026-03-10 02:27:38.945 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-30.parquet
2026-03-10 02:27:38.945 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\03\features_2022-03-31.parquet
2026-03-10 02:27:38.946 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\04\features_2022-04-01.parquet
