2026-03-10 02:27:38.192 | WARNING  | __main__:119 |   Preprocess skipped 2022-02-10: Raw parquet missing for 2022-02-10: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\02\master_2022-02-10.parquet
2026-03-10 02:27:38.193 | WARNING  | __main__:119 |   Preprocess skipped 2022-02-11: Raw parquet missing for 2022-02-11: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\02\master_2022-02-11.parquet
2026-03-10 02:27:38.193 | WARNING  | __main__:119 |   Preprocess skipped 2022-02-14: Raw parquet missing for 2022-02-14: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\02\master_2022-02-14.parquet
2026-03-10 02:27:38.193 | WARNING  | __main__:119 |   Preprocess skipped 2022-02-15: Raw parquet missing for 2022-02-15: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\02\master_2022-02-15.parquet
2026-03-10 02:27:38.194 | WARNING  | __main__:119 |   Preprocess skipped 2022-02-16: Raw parquet missing for 2022-02-16: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\02\master_2022-02-16.parquet
2026-03-10 02:27:38.195 | WARNING  | __main__:119 |   Preprocess skipped 2022-02-17: Raw parquet missing for 2022-02-17: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\02\master_2022-02-17.parquet
2026-03-10 02:27:38.195 | WARNING  | __main__:119 |   Preprocess skipped 2022-02-18: Raw parquet missing for 2022-02-18: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\02\master_2022-02-18.parquet
2026-03-10 02:27:38.196 | WARNING  | __main__:119 |   Preprocess skipped 2022-02-21: Raw parquet missing for 2022-02-21: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\02\master_2022-02-21.parquet
2026-03-10 02:27:38.197 | WARNING  | __main__:119 |   Preprocess skipped 2022-02-22: Raw parquet missing for 2022-02-22: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\02\master_2022-02-22.parquet
2026-03-10 02:27:38.198 | WARNING  | __main__:119 |   Preprocess skipped 2022-02-23: Raw parquet missing for 2022-02-23: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\02\master_2022-02-23.parquet
2026-03-10 02:27:38.198 | WARNING  | __main__:119 |   Preprocess skipped 2022-02-24: Raw parquet missing for 2022-02-24: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\02\master_2022-02-24.parquet
2026-03-10 02:27:38.198 | WARNING  | __main__:119 |   Preprocess skipped 2022-02-25: Raw parquet missing for 2022-02-25: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\02\master_2022-02-25.parquet
2026-03-10 02:27:38.199 | WARNING  | __main__:119 |   Preprocess skipped 2022-02-28: Raw parquet missing for 2022-02-28: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\02\master_2022-02-28.parquet
2026-03-10 02:27:38.199 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-02: Raw parquet missing for 2022-03-02: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-02.parquet
2026-03-10 02:27:38.200 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-03: Raw parquet missing for 2022-03-03: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-03.parquet
2026-03-10 02:27:38.200 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-04: Raw parquet missing for 2022-03-04: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-04.parquet
2026-03-10 02:27:38.200 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-07: Raw parquet missing for 2022-03-07: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-07.parquet
2026-03-10 02:27:38.201 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-08: Raw parquet missing for 2022-03-08: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-08.parquet
2026-03-10 02:27:38.201 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-09: Raw parquet missing for 2022-03-09: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-09.parquet
2026-03-10 02:27:38.201 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-10: Raw parquet missing for 2022-03-10: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-10.parquet
2026-03-10 02:27:38.201 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-11: Raw parquet missing for 2022-03-11: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-11.parquet
2026-03-10 02:27:38.202 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-14: Raw parquet missing for 2022-03-14: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-14.parquet
2026-03-10 02:27:38.202 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-15: Raw parquet missing for 2022-03-15: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-15.parquet
2026-03-10 02:27:38.203 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-16: Raw parquet missing for 2022-03-16: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-16.parquet
2026-03-10 02:27:38.203 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-17: Raw parquet missing for 2022-03-17: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-17.parquet
2026-03-10 02:27:38.203 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-21: Raw parquet missing for 2022-03-21: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-21.parquet
2026-03-10 02:27:38.204 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-22: Raw parquet missing for 2022-03-22: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-22.parquet
2026-03-10 02:27:38.204 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-23: Raw parquet missing for 2022-03-23: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-23.parquet
2026-03-10 02:27:38.204 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-24: Raw parquet missing for 2022-03-24: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-24.parquet
2026-03-10 02:27:38.204 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-25: Raw parquet missing for 2022-03-25: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-25.parquet
2026-03-10 02:27:38.205 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-28: Raw parquet missing for 2022-03-28: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-28.parquet
2026-03-10 02:27:38.205 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-29: Raw parquet missing for 2022-03-29: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-29.parquet
2026-03-10 02:27:38.205 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-30: Raw parquet missing for 2022-03-30: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-30.parquet
2026-03-10 02:27:38.206 | WARNING  | __main__:119 |   Preprocess skipped 2022-03-31: Raw parquet missing for 2022-03-31: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\03\master_2022-03-31.parquet
